character_name,traits,category,traints
maddie phillips,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
edison chen,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
tammy lauren,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
emilio sakraya,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lara mcdonnell,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
marianne jean-baptiste,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
travis tedford,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lisa boyle,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
nadia hilker,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
seo hyun-woo,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
joss whedon,"[""['is_male'"", "" 'is_writer']""]",Writing,"['is_male', 'is_writer']"
barry humphries,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
niko terho,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
kurt mckinney,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
minka kelly,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
hilal altınbilek,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
sarah wynter,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
richard coyle,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
erik per sullivan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
ayame misaki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
madisyn shipman,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kajal agarwal,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
julie strain,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
kim yoon-hye,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
vinnie jones,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
mayuko sasaki,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ingrid bergman,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
mykelti williamson,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
owain yeoman,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
enrico colantoni,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
jamie dornan,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
oliver jackson-cohen,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
george lucas,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
wayne knight,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
seth macfarlane,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
qin junjie,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
choi min-ho,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
lee tamahori,"[""['is_male'"", "" 'is_director']""]",Directing,"['is_male', 'is_director']"
jamie clayton,"[""['is_female'"", "" 'is_actor']""]",Acting,"['is_female', 'is_actor']"
ok taec-yeon,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
scoot mcnairy,"[""['is_male'"", "" 'is_actor']""]",Acting,"['is_male', 'is_actor']"
